iter	Passed	Remaining
417	2556	4783
418	2561	4774
419	2567	4768
420	2574	4763
421	2578	4753
422	2583	4745
423	2590	4740
424	2593	4729
425	2599	4723
426	2604	4715
427	2609	4706
428	2613	4697
429	2619	4690
430	2626	4685
431	2630	4676
432	2634	4667
433	2638	4657
434	2643	4649
435	2650	4643
436	2655	4637
437	2659	4627
438	2663	4616
439	2667	4607
440	2671	4598
441	2676	4589
442	2680	4581
443	2685	4573
444	2688	4561
445	2693	4553
446	2697	4544
447	2701	4535
448	2706	4527
449	2710	4516
450	2714	4508
451	2718	4499
452	2723	4491
453	2728	4483
454	2732	4473
455	2737	4466
456	2742	4458
457	2747	4450
458	2752	4443
459	2758	4438
460	2762	4429
461	2768	4422
462	2775	4417
463	2782	4413
464	2791	4411
465	2796	4404
466	2800	4395
467	2805	4388
468	2811	4382
469	2816	4373
470	2820	4365
471	2827	4360
472	2831	4351
473	2835	4343
474	2840	4335
475	2847	4331
476	2853	4325
477	2860	4320
478	2867	4315
479	2873	4310
480	2878	4302
481	2884	4296
482	2889	4289
483	2896	4284
484	2901	4277
485	2907	4271
486	2913	4265
487	2922	4263
488	2928	4258
489	2932	4249
490	2937	4242
491	2943	4235
492	2950	4230
493	2954	4221
494	2958	4214
495	2965	4209
496	2972	4203
497	2977	4197
498	2985	4193
499	2991	4188
500	2996	4181
501	3003	4176
502	3008	4169
503	3016	4166
504	3022	4159
505	3029	4154
506	3033	4146
507	3038	4138
508	3044	4133
509	3048	4124
510	3052	4115
511	3059	4111
512	3064	4104
513	3069	4096
514	3075	4091
515	3080	4084
516	3086	4077
517	3093	4073
518	3098	4065
519	3102	4057
520	3107	4050
521	3110	4040
522	3116	4033
523	3120	4026
524	3127	4021
525	3132	4013
526	3136	4004
527	3143	4000
528	3149	3994
529	3155	3988
530	3162	3984
531	3171	3982
532	3177	3976
533	3183	3970
534	3189	3964
535	3196	3959
536	3203	3955
537	3210	3950
538	3216	3944
539	3221	3937
540	3226	3929
541	3231	3922
542	3240	3920
543	3245	3913
544	3252	3909
545	3256	3901
546	3259	3891
547	3267	3887
548	3273	3882
549	3277	3873
550	3283	3867
551	3288	3860
552	3291	3851
553	3296	3843
554	3300	3836
555	3308	3831
556	3312	3823
557	3315	3814
558	3321	3809
559	3325	3800
560	3329	3792
561	3333	3784
562	3339	3777
563	3344	3771
564	3349	3764
565	3353	3756
566	3359	3750
567	3365	3744
568	3371	3739
569	3379	3734
570	3384	3728
571	3390	3722
572	3399	3719
573	3406	3714
574	3411	3708
575	3416	3700
576	3421	3694
577	3428	3689
578	3432	3681
579	3438	3675
580	3445	3670
581	3449	3663
582	3454	3655
583	3459	3649
584	3464	3642
585	3469	3635
586	3473	3627
587	3476	3618
588	3481	3611
589	3485	3603
590	3490	3597
591	3494	3589
592	3498	3580
593	3502	3573
594	3506	3565
595	3511	3558
596	3515	3550
597	3524	3548
598	3529	3541
599	3534	3534
600	3541	3529
601	3545	3521
602	3549	3514
603	3555	3507
604	3559	3500
605	3563	3492
606	3568	3486
607	3573	3479
608	3578	3472
609	3581	3464
610	3587	3458
611	3594	3453
612	3596	3443
613	3599	3434
614	3604	3428
615	3609	3422
616	3614	3415
617	3621	3410
618	3628	3405
619	3636	3401
620	3643	3396
621	3648	3390
622	3652	3382
623	3658	3376
624	3665	3371
625	3670	3365
626	3677	3360
627	3684	3355
628	3688	3348
629	3694	3342
630	3698	3335
631	3703	3328
632	3708	3322
633	3712	3314
634	3718	3308
635	3723	3301
636	3731	3297
637	3737	3292
638	3743	3286
639	3748	3279
640	3752	3272
641	3758	3266
642	3763	3260
643	3769	3254
644	3773	3246
645	3778	3240
646	3782	3233
647	3787	3226
648	3794	3221
649	3800	3215
650	3804	3208
651	3809	3201
652	3812	3193
653	3818	3187
654	3823	3181
655	3827	3174
656	3830	3166
657	3834	3158
658	3838	3150
659	3844	3145
660	3851	3140
661	3854	3132
662	3859	3126
663	3863	3118
664	3869	3112
665	3874	3106
666	3878	3099
667	3885	3094
668	3889	3087
669	3894	3080
670	3901	3075
671	3905	3068
672	3912	3063
673	3917	3057
674	3921	3049
675	3927	3044
676	3932	3038
677	3937	3031
678	3944	3026
679	3947	3018
680	3952	3012
681	3956	3004
682	3960	2998
683	3965	2991
684	3969	2984
685	3972	2976
686	3976	2969
687	3981	2962
688	3985	2955
689	3990	2949
690	3993	2942
691	3998	2935
692	4001	2927
693	4009	2923
694	4013	2916
695	4016	2908
696	4020	2901
697	4025	2894
698	4028	2887
699	4032	2880
700	4037	2873
701	4042	2867
702	4046	2860
703	4053	2856
704	4060	2850
705	4063	2843
706	4067	2836
707	4071	2829
708	4075	2822
709	4080	2815
710	4085	2809
711	4087	2801
712	4091	2794
713	4093	2786
714	4099	2780
715	4103	2774
716	4107	2766
717	4110	2759
718	4113	2751
719	4116	2744
720	4118	2736
721	4122	2729
722	4125	2721
723	4129	2715
724	4133	2707
725	4136	2700
726	4140	2693
727	4144	2687
728	4148	2680
729	4151	2673
730	4155	2665
731	4159	2659
732	4162	2651
733	4165	2644
734	4167	2636
735	4171	2629
736	4175	2623
737	4178	2616
738	4184	2610
739	4188	2603
740	4190	2595
741	4192	2588
742	4196	2581
743	4199	2573
744	4203	2567
745	4206	2560
746	4208	2552
747	4212	2545
748	4216	2538
749	4219	2531
750	4224	2525
751	4228	2519
752	4230	2511
753	4232	2503
754	4235	2496
755	4238	2489
756	4240	2481
757	4245	2475
758	4249	2468
759	4255	2463
760	4258	2456
761	4262	2450
762	4265	2443
763	4269	2436
764	4272	2429
765	4274	2422
766	4278	2415
767	4283	2409
768	4287	2403
769	4290	2395
770	4292	2388
771	4297	2382
772	4301	2376
773	4305	2369
774	4309	2363
775	4312	2356
776	4318	2351
777	4323	2345
778	4326	2338
779	4329	2331
780	4332	2324
781	4335	2317
782	4339	2310
783	4341	2303
784	4345	2297
785	4347	2289
786	4351	2283
787	4354	2276
788	4356	2269
789	4358	2262
790	4362	2255
791	4366	2249
792	4373	2244
793	4378	2238
794	4384	2233
795	4391	2228
796	4395	2222
797	4398	2215
798	4402	2209
799	4404	2202
800	4409	2196
801	4411	2189
802	4414	2182
803	4417	2175
804	4421	2169
805	4425	2163
806	4428	2156
807	4432	2150
808	4435	2143
809	4437	2136
810	4441	2130
811	4445	2124
812	4448	2117
813	4451	2111
814	4454	2104
815	4456	2097
816	4460	2091
817	4463	2084
818	4465	2077
819	4468	2070
820	4473	2064
821	4475	2058
822	4479	2052
823	4483	2045
824	4486	2039
825	4489	2032
826	4492	2026
827	4495	2019
828	4498	2012
829	4502	2007
830	4507	2001
831	4509	1994
832	4512	1988
833	4514	1981
834	4517	1974
835	4520	1968
836	4523	1961
837	4526	1955
838	4529	1949
839	4532	1942
840	4534	1935
841	4537	1929
842	4541	1923
843	4545	1917
844	4550	1911
845	4552	1904
846	4555	1898
847	4559	1892
848	4563	1886
849	4566	1880
850	4571	1874
851	4574	1868
852	4577	1862
853	4582	1856
854	4584	1849
855	4587	1843
856	4590	1837
857	4595	1831
858	4597	1825
859	4601	1819
860	4605	1813
861	4607	1806
862	4612	1801
863	4616	1795
864	4619	1788
865	4622	1782
866	4624	1776
867	4628	1770
868	4634	1765
869	4638	1759
870	4640	1752
871	4645	1747
872	4650	1741
873	4653	1735
874	4656	1729
875	4659	1723
876	4663	1717
877	4666	1711
878	4670	1705
879	4673	1699
880	4677	1693
881	4679	1687
882	4682	1680
883	4684	1674
884	4688	1668
885	4691	1662
886	4696	1657
887	4699	1651
888	4702	1645
889	4705	1639
890	4708	1632
891	4713	1627
892	4716	1621
893	4719	1615
894	4720	1608
895	4723	1602
896	4728	1597
897	4732	1591
898	4736	1585
899	4738	1579
900	4741	1573
901	4746	1568
902	4752	1563
903	4755	1557
904	4758	1551
905	4760	1544
906	4763	1538
907	4767	1533
908	4770	1527
909	4773	1521
910	4779	1516
911	4783	1510
912	4786	1504
913	4790	1498
914	4793	1493
915	4797	1487
916	4801	1481
917	4804	1475
918	4806	1469
919	4809	1463
920	4812	1457
921	4816	1452
922	4818	1445
923	4820	1439
924	4823	1433
925	4827	1428
926	4831	1422
927	4834	1417
928	4838	1411
929	4840	1405
930	4844	1399
931	4849	1394
932	4851	1388
933	4854	1382
934	4856	1376
935	4861	1371
936	4864	1365
937	4869	1360
938	4876	1355
939	4879	1349
940	4881	1343
941	4885	1338
942	4891	1333
943	4896	1327
944	4898	1321
945	4901	1315
946	4904	1310
947	4911	1305
948	4915	1300
949	4920	1294
950	4924	1289
951	4929	1284
952	4932	1278
953	4936	1273
954	4939	1267
955	4941	1261
956	4945	1255
957	4949	1250
958	4952	1244
959	4954	1238
960	4958	1233
961	4961	1227
962	4964	1221
963	4967	1216
964	4969	1210
965	4972	1204
966	4976	1199
967	4979	1193
968	4981	1187
969	4986	1182
970	4990	1176
971	4992	1171
972	4996	1165
973	5000	1160
974	5003	1154
975	5006	1148
976	5010	1143
977	5012	1137
978	5016	1132
979	5018	1126
980	5023	1121
981	5025	1115
982	5027	1109
983	5031	1104
984	5034	1098
985	5041	1094
986	5044	1088
987	5047	1083
988	5050	1077
989	5053	1071
990	5056	1066
991	5059	1060
992	5060	1054
993	5064	1049
994	5068	1044
995	5071	1038
996	5076	1033
997	5079	1028
998	5083	1022
999	5086	1017
1000	5089	1011
1001	5092	1006
1002	5095	1000
1003	5099	995
1004	5103	990
1005	5107	984
1006	5110	979
1007	5112	973
1008	5116	968
1009	5118	962
1010	5122	957
1011	5124	951
1012	5127	946
1013	5129	940
1014	5132	935
1015	5135	930
1016	5139	924
1017	5142	919
1018	5145	913
1019	5148	908
1020	5153	903
1021	5155	897
1022	5157	892
1023	5160	886
1024	5163	881
1025	5165	875
1026	5169	870
1027	5172	865
1028	5174	859
1029	5177	854
1030	5181	849
1031	5186	844
1032	5188	838
1033	5191	833
1034	5194	828
1035	5198	822
1036	5201	817
1037	5205	812
1038	5209	807
1039	5211	801
1040	5213	796
1041	5215	790
1042	5219	785
1043	5222	780
1044	5225	775
1045	5228	769
1046	5231	764
1047	5234	759
1048	5236	753
1049	5240	748
1050	5242	743
1051	5244	737
1052	5247	732
1053	5250	727
1054	5253	722
1055	5257	716
1056	5261	711
1057	5265	706
1058	5268	701
1059	5270	696
1060	5272	690
1061	5275	685
1062	5277	680
1063	5280	674
1064	5283	669
1065	5287	664
1066	5290	659
1067	5294	654
1068	5297	649
1069	5299	643
1070	5302	638
1071	5305	633
1072	5308	628
1073	5314	623
1074	5317	618
1075	5321	613
1076	5324	608
1077	5327	602
1078	5330	597
1079	5333	592
1080	5335	587
1081	5339	582
1082	5342	577
1083	5345	572
1084	5349	567
1085	5352	561
1086	5356	556
1087	5361	551
1088	5364	546
1089	5368	541
1090	5370	536
1091	5372	531
1092	5375	526
1093	5379	521
1094	5382	516
1095	5385	511
1096	5390	506
1097	5392	500
1098	5395	495
1099	5400	490
1100	5404	485
1101	5408	480
