iter	Logloss
0	0.6723746609
1	0.6541741093
2	0.6322633773
3	0.6108932629
4	0.589507543
5	0.5739586336
6	0.5551420665
7	0.5361372777
8	0.5211922332
9	0.5092483451
10	0.4983619232
11	0.4868049316
12	0.4763006656
13	0.4652672289
14	0.4520965187
15	0.4409388434
16	0.4310568759
17	0.4200409514
18	0.4117197813
19	0.4013887002
20	0.3910540271
21	0.3816589857
22	0.3723390484
23	0.360471572
24	0.3524900398
25	0.3433547551
26	0.3332607344
27	0.3270723121
28	0.3186025141
29	0.3117150519
30	0.3037042592
31	0.2969732206
32	0.2895549591
33	0.2837887916
34	0.2800411264
35	0.2759503205
36	0.2713205112
37	0.2661993596
38	0.2602561647
39	0.2544867078
40	0.2494419481
41	0.2447862421
42	0.240889962
43	0.2368414992
44	0.2316290059
45	0.2270699691
46	0.2234507529
47	0.2194196299
48	0.2148674541
49	0.2118170269
50	0.2082627459
51	0.205893467
52	0.2029339559
53	0.1998014048
54	0.1960692515
55	0.1926281974
56	0.1890250287
57	0.1855100281
58	0.1829458318
59	0.1805441784
60	0.1773749701
61	0.174886003
62	0.170923482
63	0.1671723858
64	0.1651600137
65	0.1626403157
66	0.1596753773
67	0.1576367445
68	0.155131994
69	0.1523866238
70	0.1507616063
71	0.1486611717
72	0.1458505078
73	0.1435820008
74	0.1411039155
75	0.1390048417
76	0.1368874021
77	0.1348514178
78	0.1335794188
79	0.1314707955
80	0.1297575885
81	0.1285072003
82	0.1265865036
83	0.1250368299
84	0.123181496
85	0.1214842797
86	0.1196204892
87	0.1183391185
88	0.1165129447
89	0.1152252558
90	0.1132524321
91	0.1113337708
92	0.1098196089
93	0.108131477
94	0.1071709095
95	0.1061114612
96	0.1047356144
97	0.1030376236
98	0.1016508203
99	0.1004689088
100	0.09944906768
101	0.0984831449
102	0.09732267774
103	0.09666855359
104	0.09524044108
105	0.09397937255
106	0.09300740071
107	0.09192069585
108	0.09147799751
109	0.09042248666
110	0.08905374318
111	0.08801583582
112	0.08697022479
113	0.08588121735
114	0.08469137504
115	0.08374065849
116	0.08250876725
117	0.08152441266
118	0.08080685273
119	0.07995735796
120	0.07914152732
121	0.07814119501
122	0.07736767171
123	0.07684087848
124	0.07592982918
125	0.07519286553
126	0.07410889215
127	0.07371608543
128	0.07295321041
129	0.07194050126
130	0.07126953666
131	0.07060058236
132	0.06994512267
133	0.06925866118
134	0.06827106541
135	0.06749135794
136	0.06677694023
137	0.06608845532
138	0.06539674687
139	0.06481560016
140	0.06417362827
141	0.06376458023
142	0.06291217016
143	0.06220876649
144	0.06172734105
145	0.06110780631
146	0.06080517507
147	0.05991467284
148	0.05922491912
149	0.05883692258
150	0.058355037
151	0.05766351954
152	0.05700603413
153	0.05644352601
154	0.05602070253
155	0.05554601465
156	0.0552154898
157	0.05485535203
158	0.05425336904
159	0.05372540857
160	0.05329914516
161	0.05270564693
162	0.05220773413
163	0.0516120718
164	0.05116877692
165	0.05075869358
166	0.05029975265
167	0.04979660245
168	0.04954723301
169	0.04901067086
170	0.04844338956
171	0.04805722862
172	0.04757337098
173	0.04725877689
174	0.04678852902
175	0.04637470307
176	0.04587112124
177	0.04549026072
178	0.04493220906
179	0.04465952543
180	0.04419083812
181	0.0437237294
182	0.04329428723
183	0.04293430861
184	0.04265320715
185	0.04225226978
186	0.04194131204
187	0.04160990435
188	0.04121645576
189	0.04090484132
190	0.04049511774
191	0.04021184162
192	0.03989031984
193	0.03959368807
194	0.03934396787
195	0.0390358586
196	0.03872680141
197	0.0383596464
198	0.03801578118
199	0.0376685856
200	0.03744601937
201	0.03733856509
202	0.03698181702
203	0.03666224269
204	0.03645955687
205	0.03616822569
206	0.03592850271
207	0.03560049084
208	0.03538219072
209	0.03521870488
210	0.03491779651
211	0.03471205894
212	0.03440652445
213	0.03417235528
214	0.03385671695
215	0.033653842
216	0.03335639018
217	0.03303769374
218	0.03285964947
219	0.03263729661
220	0.03248160864
221	0.03224836552
222	0.03207237679
223	0.03184277319
224	0.03152300076
225	0.03127897145
226	0.0310301431
227	0.0307767652
228	0.03058252217
229	0.0303101897
230	0.03009959972
231	0.02988316213
232	0.02966010728
233	0.02943745622
234	0.02924736435
235	0.02909485169
236	0.02896319872
237	0.02882774396
238	0.02862613271
239	0.02845423594
240	0.02820863496
241	0.02801344938
242	0.02784089594
243	0.02772500981
244	0.02748838934
245	0.02729413451
246	0.02710344123
247	0.02694146684
248	0.02680450883
249	0.02654803705
250	0.02635807061
251	0.02619247598
252	0.02596938288
253	0.02579916256
254	0.02558445397
255	0.02540033998
256	0.02522452537
257	0.02510244638
258	0.02490160571
259	0.02473950354
260	0.024589711
261	0.02441661136
262	0.02423580369
263	0.02404833955
264	0.02391258649
265	0.02376071319
266	0.02365658698
267	0.02357431188
268	0.02342465471
269	0.02332073634
270	0.0231418896
271	0.02299362496
272	0.02289833314
273	0.02277234653
274	0.02266370726
275	0.02249182149
276	0.02234140737
277	0.02224998926
278	0.02208445896
279	0.02192468225
280	0.0217971397
281	0.02168405502
282	0.0215707742
283	0.02145271138
284	0.02132861119
285	0.02119554408
286	0.02108049822
287	0.02092684551
288	0.02087548393
289	0.02080147065
290	0.02069445159
291	0.02053689459
292	0.0204098023
293	0.02022702366
294	0.02014818547
295	0.02004803873
296	0.01995031216
297	0.01984766653
298	0.01970089806
299	0.01960077907
300	0.01950507464
301	0.01938659078
302	0.01931624737
303	0.01920904903
304	0.01913227937
305	0.01899242072
306	0.01887895472
307	0.01875288043
308	0.01866377664
309	0.01851499895
310	0.01845208335
311	0.01835575962
312	0.01825739202
313	0.01817495454
314	0.01811119566
315	0.01801951687
316	0.01790408344
317	0.01781806461
318	0.01770024315
319	0.01762598814
320	0.01754152876
321	0.01749063155
322	0.01741396251
323	0.01732597187
324	0.01725330947
325	0.01718268629
326	0.0170819266
327	0.01699588159
328	0.01689068186
329	0.01679338742
330	0.01670335956
331	0.01660512974
332	0.01650775266
333	0.01642464112
334	0.01632816643
335	0.01625970013
336	0.01615553404
337	0.01608508074
338	0.01603030553
339	0.01595445426
340	0.01589106211
341	0.01584147451
342	0.01576834765
343	0.01568845076
344	0.01566153837
345	0.01561151376
346	0.01556562415
347	0.01552071628
348	0.01544845119
349	0.01538485355
350	0.01528870526
351	0.01523925825
352	0.01517240027
353	0.01510280101
354	0.01502675539
355	0.01494339999
356	0.01490398585
357	0.01484626078
358	0.01479035555
359	0.01472476798
360	0.01465614173
361	0.01459427889
362	0.01455024698
363	0.01450963787
364	0.01445810437
365	0.01439811068
366	0.01433770127
367	0.01430649436
368	0.01426978432
369	0.0141961563
370	0.01414137169
371	0.01406158591
372	0.01400603557
373	0.01393199263
374	0.01388146957
375	0.01381588598
376	0.01375903972
377	0.01369153323
378	0.01363633017
379	0.01359760117
380	0.01356595913
381	0.01352147606
382	0.01346521531
383	0.01340861541
384	0.01335791042
385	0.01332279678
386	0.01327464815
387	0.01321306399
388	0.01318263791
389	0.01313432078
390	0.01308019901
391	0.01304126488
392	0.01300809322
393	0.0129467983
394	0.01292111202
395	0.01287308289
396	0.01281486806
397	0.0127621824
398	0.01270074647
399	0.01268550286
400	0.01263371405
401	0.01260421857
402	0.01257243029
403	0.01251295692
404	0.01245950541
405	0.01244097889
406	0.01236337501
407	0.01233187157
408	0.0122702419
409	0.01220378357
410	0.01215196634
411	0.01209944924
412	0.01205452638
413	0.01200523735
414	0.01197681025
415	0.01193174945
416	0.01186876141
417	0.01180472034
418	0.01176277852
419	0.01171580594
420	0.01167743179
421	0.01164389448
422	0.01161134592
423	0.01158940969
424	0.01155044471
425	0.01151087478
426	0.01147206793
427	0.01142452208
428	0.01137534259
429	0.01133292231
430	0.011301788
431	0.01127728404
432	0.01125256089
433	0.0112148145
434	0.01119632779
435	0.01115444864
436	0.01112865687
437	0.01111133333
438	0.01107506414
439	0.0110441734
440	0.01100023443
441	0.0109651825
442	0.01093382355
443	0.01088850806
444	0.01086714463
445	0.0108202933
446	0.01077857207
447	0.01074807069
448	0.01071713638
449	0.01069081529
450	0.01066251807
451	0.01062625844
452	0.01060990317
453	0.01056020907
454	0.01052649114
455	0.01049089578
456	0.01046008469
457	0.01043888028
458	0.01041367882
459	0.01039312889
460	0.01037738447
461	0.01033696523
462	0.01030036308
463	0.01026973515
464	0.01024425915
465	0.01022584266
466	0.01019394124
467	0.01015835966
468	0.01013335553
469	0.0101098304
470	0.01008803038
471	0.01006201646
472	0.01004177971
473	0.01000328054
474	0.009965846738
475	0.009933659267
476	0.009894178786
477	0.009871018759
478	0.009842391193
479	0.009826306187
480	0.009810338528
481	0.009780398158
482	0.009754460008
483	0.009718361355
484	0.009683798487
485	0.009652295679
486	0.00962529094
487	0.009597449983
488	0.009573936514
489	0.009545337646
490	0.009511706965
491	0.009477284276
492	0.009442877957
493	0.009420274763
494	0.009398439941
495	0.009364764395
496	0.009333508887
497	0.009312305254
498	0.009281041388
499	0.009242329916
500	0.009216279531
501	0.009195832136
502	0.009167846238
503	0.009147817226
504	0.00912147806
505	0.009103633437
506	0.009077856884
507	0.009044753519
508	0.009017999169
509	0.008996784618
510	0.008980752424
511	0.008956304653
512	0.008922829063
513	0.008902747844
514	0.008872243118
515	0.008837628543
516	0.008816868939
517	0.008787892291
518	0.008762833155
519	0.00874626138
520	0.00872902997
521	0.008708322491
522	0.008688561305
523	0.008655763507
524	0.008637044514
525	0.008627596647
526	0.008622212801
527	0.008600964465
528	0.008585443196
529	0.008554768724
530	0.008532646152
531	0.008510381303
532	0.008491649949
533	0.008476378999
534	0.008442505096
